logFC	logCPM	LR	PValue	FDR	geneId
0.84755856	5.972259537	36.20000452	1.78E-09	1.20E-07	AT1G18390
0.74446214	7.658977279	36.15778654	1.82E-09	1.22E-07	AT2G30930
-1.311668971	4.068858761	35.84087427	2.14E-09	1.43E-07	AT5G19890
0.864872754	3.361287904	35.81881883	2.17E-09	1.44E-07	AT4G13510
0.71607036	5.781851569	35.80340061	2.18E-09	1.45E-07	AT2G25180
1.569572105	1.958000103	35.77219067	2.22E-09	1.47E-07	AT5G03310
0.868403598	5.68096362	35.31133716	2.81E-09	1.85E-07	AT5G57150
-0.991449568	3.611877577	35.13115011	3.08E-09	2.02E-07	AT3G30180
0.896638429	5.291355362	34.89505594	3.48E-09	2.28E-07	AT4G25620
1.032825436	3.771696046	34.31429828	4.69E-09	3.06E-07	AT2G23290
-1.230369949	3.250088236	34.28394974	4.76E-09	3.09E-07	AT5G47220
-1.7467855	2.362798233	34.28214704	4.77E-09	3.09E-07	AT3G03660
0.659660926	5.140082419	34.20247851	4.97E-09	3.21E-07	AT4G19420
0.77549979	3.981417702	34.05951204	5.35E-09	3.44E-07	AT3G01970
0.855623989	3.123424061	34.02045779	5.45E-09	3.50E-07	AT3G61630
-0.969619601	3.957036618	33.99624945	5.52E-09	3.53E-07	AT2G28660
0.761695254	6.276493806	33.8558815	5.93E-09	3.78E-07	AT2G24570
0.742667455	4.655667649	33.83962683	5.98E-09	3.80E-07	AT1G08590
-0.931308927	3.5765802	33.82296898	6.04E-09	3.82E-07	AT4G00460
-0.659858299	6.139119701	33.78319194	6.16E-09	3.89E-07	AT5G45490
0.730010406	7.253417055	33.70128241	6.43E-09	4.04E-07	AT2G47800
0.714551035	4.01384918	33.69556579	6.44E-09	4.04E-07	AT3G21700
1.669637542	1.57200577	33.6558979	6.58E-09	4.11E-07	AT4G15670
0.742260807	5.683768914	33.63506833	6.65E-09	4.14E-07	AT3G29240
0.682331601	4.436576925	33.62693235	6.68E-09	4.14E-07	AT5G59020
-1.020012548	4.586854026	33.35548853	7.68E-09	4.75E-07	AT5G54040
-0.984759089	3.895043827	33.27719509	7.99E-09	4.93E-07	AT1G43910
0.862140287	3.155681706	33.26754577	8.03E-09	4.94E-07	AT1G66400
1.432668508	2.559721135	33.06453943	8.91E-09	5.46E-07	AT4G34760
0.695957821	4.123141291	32.90335806	9.69E-09	5.92E-07	AT1G79410
1.013265901	4.582592269	32.77670266	1.03E-08	6.29E-07	AT1G04360
-1.10136957	4.94663687	32.70209609	1.07E-08	6.52E-07	AT5G55090
0.781447128	4.709107859	32.69475994	1.08E-08	6.52E-07	AT1G35612
1.315208385	2.577676166	32.61637985	1.12E-08	6.77E-07	AT5G51795
0.839034106	5.357489133	32.61013992	1.13E-08	6.77E-07	AT1G23330
0.717277959	3.823688916	32.49069432	1.20E-08	7.18E-07	AT2G18620
-0.732199764	4.853762737	32.47549777	1.21E-08	7.21E-07	AT4G08770
0.681287171	5.842760765	32.46121494	1.22E-08	7.24E-07	AT1G68670
1.526076513	1.677390433	32.4506	1.22E-08	7.26E-07	AT4G14103
0.621477366	5.961113809	32.42383382	1.24E-08	7.34E-07	AT5G27450
-0.937464646	2.883595796	32.36469545	1.28E-08	7.54E-07	AT5G43040
0.748251428	3.811461266	32.35870288	1.28E-08	7.54E-07	AT3G10930
0.825339824	4.339942754	32.33647118	1.30E-08	7.60E-07	AT1G75140
0.636316883	5.763540314	32.29573366	1.32E-08	7.74E-07	AT2G46890
-0.849606176	5.327027709	32.20607604	1.39E-08	8.08E-07	AT4G19700
-1.000278205	2.396372142	32.05656952	1.50E-08	8.70E-07	AT1G29660
-1.552618288	3.345581096	31.99517181	1.55E-08	8.95E-07	AT1G64160
1.78963288	1.408581923	31.97480902	1.56E-08	9.02E-07	AT1G67270
-0.699140984	4.857262226	31.93149195	1.60E-08	9.20E-07	AT2G40820
0.910560227	5.275825855	31.88642454	1.63E-08	9.38E-07	AT3G29575
1.496095142	5.115125585	31.87694779	1.64E-08	9.40E-07	AT2G25150
0.819676048	4.355328664	31.8274129	1.68E-08	9.62E-07	AT3G53350
1.022077042	4.525863163	31.76232231	1.74E-08	9.91E-07	AT3G50660
1.319898191	2.247960528	31.61068875	1.88E-08	1.07E-06	AT3G03450
0.979827506	2.531412501	31.58659775	1.91E-08	1.08E-06	AT5G15190
